freq,unit,category,sex,geo\TIME_PERIOD	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,RT_UNE,HRSTU,F,AT	: 	: u	: u	1.1 u	: bu	: u	1.1 u	1.1 u	1.1 u	1.3 u	1.4 b	1.5 b	1.6 b	1.5 b	1.0 	1.6 	1.4 	1.5 b	1.4 	2.1 	2.8 b	2.6 	2.4 	2.3 	2.3 	2.4 	2.7 	2.9 b	2.3 	2.7 	2.6 
A,RT_UNE,HRSTU,F,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.8 b	10.4 	8.7 	7.7 
A,RT_UNE,HRSTU,F,BE	4.2 	3.8 	4.2 	3.9 	3.9 b	3.8 b	2.6 	2.9 b	3.0 	3.0 	3.2 	3.8 b	4.1 	3.3 	3.1 b	3.9 	4.0 	3.3 b	3.4 	4.5 	4.1 b	3.8 	3.9 	4.2 b	3.0 	2.7 	3.0 	3.2 b	2.7 	2.6 	2.7 
A,RT_UNE,HRSTU,F,BG	: 	: 	: 	: 	: 	: 	4.9 	7.3 b	7.1 	6.1 b	5.2 	3.6 b	3.6 b	2.1 	2.2 b	2.6 	4.0 b	4.3 b	4.9 	5.6 	4.3 b	3.5 	2.9 	2.6 	2.0 	1.7 b	2.1 	1.7 b	1.2 	1.8 	1.4 b
A,RT_UNE,HRSTU,F,CH	: 	: 	0.7 u	2.2 	1.9 b	1.3 u	0.7 u	1.2 u	1.1 	1.4 	1.5 	1.8 b	1.5 	1.5 	1.3 	1.9 	2.0 b	2.3 b	2.2 	2.5 	2.4 b	2.5 	2.4 	3.2 	3.0 	2.8 	3.0 	2.8 b	2.5 	2.8 	3.1 
A,RT_UNE,HRSTU,F,CY	: 	: 	: 	: 	: 	: 	3.1 u	3.4 	2.6 	3.9 	3.4 	5.0 b	4.8 	3.8 	3.0 	4.8 b	6.0 	6.9 b	10.5 	13.4 	13.1 b	12.9 	10.9 	10.0 	7.5 	6.6 	6.1 	6.0 b	5.8 	5.2 	4.2 
A,RT_UNE,HRSTU,F,CZ	: 	: 	: 	: 	0.7 b	1.1 	1.2 	1.0 	0.6 	0.8 b	0.7 	0.9 b	1.0 	0.6 	0.7 	0.9 	1.2 b	1.7 b	1.9 	2.0 	2.0 b	1.7 	1.4 	1.1 	0.9 	0.7 	1.1 	1.0 b	0.7 	1.1 	1.0 
A,RT_UNE,HRSTU,F,DE	2.6 	2.8 	2.6 b	3.1 	: 	2.6 	2.3 	2.2 	2.1 	2.6 	2.8 	3.1 b	2.6 b	2.3 	2.0 	2.0 	1.7 b	1.5 b	1.5 b	1.5 	1.4 b	1.3 	1.2 	1.0 	1.0 	1.0 	1.5 b	1.4 b	1.3 	1.3 	1.7 
A,RT_UNE,HRSTU,F,DK	4.0 	4.2 	3.5 	2.6 	2.6 b	2.5 	1.7 	2.4 	2.5 	3.8 b	2.8 	2.8 b	2.8 	2.1 b	1.5 b	2.4 	3.1 	3.8 b	3.7 	3.4 	3.7 b	3.8 	3.6 b	3.4 b	3.5 	3.3 	3.8 	3.0 b	2.8 	3.1 b	4.1 
A,RT_UNE,HRSTU,F,EA21	: 	: 	: 	: 	: 	: 	: 	: 	4.0 	4.1 	4.2 	4.2 b	3.8 	3.4 	3.3 	4.1 	4.5 	4.8 b	5.5 	6.0 	5.8 b	5.5 	5.0 	4.5 	4.1 	3.9 	4.3 	4.1 b	3.6 	3.6 	3.5 
